,track_id,track_name,track_pop,artist_name,artist_pop,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
47,7kEJxYDTU6b3TWbjO4IagR,Woman,24,Los Cafres,60.0,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol', 'ska argentino']",0.568,0.574,0,-4.602,1.0,0.0676,0.16,0.00167,0.228,0.837,166.242
48,5vk20vCA4C23pXxFhtbBTx,I'm the One - Acoustic,54,Sunset & Highland,36.0,['acoustic chill'],0.601,0.372,3,-6.148,1.0,0.0292,0.835,0.0,0.129,0.444,146.086
49,68r69OXFecjkIYtGiyjIUH,Somewhere Over The Rainbow,40,Peter Blitz,23.0,['calming instrumental'],0.734,0.086,9,-19.736,1.0,0.061,0.973,0.919,0.112,0.327,120.137
50,35bsqCoEtM9kZR3c0arEYL,I Want It That Way,27,de$ mondo,28.0,[],0.725,0.649,8,-6.781,0.0,0.0273,0.47,9.92e-06,0.0979,0.404,114.944
51,61FnfOx61kMlzmVfbl5Jtx,Fields Of Gold,44,Elisa Mosel,35.0,"['calming instrumental', 'piano cover']",0.562,0.0206,9,-19.857,1.0,0.0426,0.995,0.93,0.108,0.207,72.953
52,7wqYlgJue4WhUVD3qglMj7,Girls Just Wanna Have Fun - Bossa Nova,43,The Mayries,57.0,"['acoustic cover', 'acoustic pop', 'neo mellow', 'viral pop']",0.646,0.247,1,-11.63,0.0,0.0417,0.921,0.0,0.116,0.477,92.879
53,4J2tPd3ptiD5kxbnq7t3Ge,Eastside,37,Lúc,42.0,"['acoustic chill', 'channel pop', 'viral pop']",0.712,0.152,8,-14.339,0.0,0.0371,0.881,0.0,0.106,0.299,116.041
54,5tdcH4SoS9ViDo8vtSRsft,Here Comes The Sun,51,Neneh Yacobi,39.0,"['lullaby', 'piano cover']",0.298,0.0873,9,-19.083,1.0,0.0598,0.994,0.957,0.106,0.407,211.823
55,7C9foVi1N7R2ChRStUPqIF,Viento Dile a la Lluvia,28,Hilda Lizarazu,37.0,"['argentine rock', 'pop argentino', 'rock en espanol', 'rock nacional']",0.584,0.502,6,-9.23,0.0,0.0256,0.669,0.000936,0.226,0.228,107.99
56,6pDfipCmDcftSSylg3BXj7,Call Me Maybe,44,Plain Simple,30.0,['acoustic chill'],0.454,0.312,8,-14.047,0.0,0.045,0.734,0.0,0.104,0.458,180.24
57,3pDK9i2PUW4EF8h8Sevexs,Sorry Not Sorry,48,Amanda Yang,54.0,"['channel pop', 'viral pop']",0.745,0.315,8,-6.656,0.0,0.0477,0.813,0.0,0.112,0.619,125.789
58,3SHg4VamqiJkGSU5o4zEaD,Stay,52,Missy & Blonde,46.0,"['channel pop', 'viral pop']",0.37,0.318,11,-6.524,0.0,0.0339,0.766,0.0,0.307,0.47,173.521
59,2zaaF3DvabHfFQPnIYVVUG,Take Me To Church,46,Tomas Lee,40.0,"['calming instrumental', 'piano cover']",0.576,0.0707,4,-26.032,0.0,0.0409,0.996,0.892,0.105,0.131,93.834
60,4psNwcpptecBlV8hgPkgVd,Someone Like You,59,Bernard Dubicki,44.0,"['calming instrumental', 'piano cover']",0.53,0.0663,3,-22.957,1.0,0.0428,0.993,0.935,0.112,0.12,121.991
61,27CpHPVunXNachJTPkPlj8,Fuego y Pasión,39,Juan Ingaramo,52.0,"['argentine alternative rock', 'argentine indie', 'pop argentino']",0.736,0.67,7,-5.031,0.0,0.144,0.132,0.00476,0.23,0.559,157.925
